startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Getting to know the Basque Country,,,,,,title,,https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F3%2F3a%2FFlag_map_of_Basque_Country.svg%2F917px-Flag_map_of_Basque_Country.svg.png&tbnid=IgE5sMXdmaZGyM&vet=12ahUKEwiB0d2Q7vb-AhVppycCHQ3rA28QMygGegUIARDOAQ..i&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FFile%3AFlag_map_of_Basque_Country.svg&docid=v76rTwNeEEEG7M&w=917&h=768&q=basque%20country%20flag&client=firefox-b-d&ved=2ahUKEwiB0d2Q7vb-AhVppycCHQ3rA28QMygGegUIARDOAQ,#CD5C5C
1515,,,,1515,,,,,Fernando The Catholic conquered upper Navarre,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Michel_Sittow_004.jpg/896px-Michel_Sittow_004.jpg,Wikipedia,Image of Fernando The Catholic,,,,,#DCDCDC
1640,,,,1659,,,,,"The Basque Country experiences the repercussions of the Thirty Years' War and the Franco-Spanish War, resulting in armed conflicts, economic difficulties, and changes in political alliances.",,https://historyguild.org/wp-content/uploads/2022/08/bigtercio-1200x640.jpg,Historyguild,Thirty Years' War,,,,,#DCDCDC
1833,10,2,,1840,7,6,,,First Carlist War,centered on the homelands of the Basque Country and Aragon. Catalonia and Valencia,https://upload.wikimedia.org/wikipedia/commons/0/07/En_Mendigorr%C3%ADa.jpg,Wikipedia,First Carlist War,,,,,#DCDCDC
1896,,,,1896,,,,,Ikurriña — Creation of the basque flag,"Created by Sabino Arana Gori, considered the founder of modern Basque nationalism. First in Biscay, in 1933 for the whole Basque Country",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flag_of_the_Basque_Country.svg/1600px-Flag_of_the_Basque_Country.svg.png,Wikipedia,Basque Flag,,,,,#DCDCDC
1930,,,,1930,,,,,Creation of the Pintxos,,https://static.eldiario.es/clip/ee1a6976-9563-4d20-a835-249d814558ec_16-9-aspect-ratio_default_0.jpg,elDiario.es,Some pintxos images,,,,,#DCDCDC
1936,7,17,,1939,3,28,,,Spanish Civil War,The Basque country fouht on the Republican side under their own government and president.,https://upload.wikimedia.org/wikipedia/commons/4/4d/Collage_guerra_civile_spagnola.png,Wikipedia,Collage of pictures from the civil war,,,,,#DCDCDC
1959,7,31,,2018,5,2,,,ETA (Euskadi ta Askatasuna which is Basque Homeland and Freedom) is formed to fight for Basque self-determination,On the 5th of September 2010 there was a truce between ETA and the Basque Country . On the 8th of April 2017 the ETA was disarmed and on the 2th of May 2018 ETA was ended,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Logo_of_Euskadi_Ta_Askatasuna.png/1200px-Logo_of_Euskadi_Ta_Askatasuna.png?20200528090013,Wikimedia,Image of the ETA logo,,,,,#DCDCDC
1960,,,,1990,,,,,Spreading of the Basque language,"Basque and Castilian on equal footing, ETB (Basque Television) created in 1984",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/ETB_Basque_2022_logo.svg/1024px-ETB_Basque_2022_logo.svg.png,Wikipedia,Image of ETB logo,,,,,#DCDCDC
1977,1,16,,1977,1,25,,,Legalisation of the basque flag,Requested on the 16th by mayor cities and approved and raised in Pamplona for the first time,https://wiwibloggs.com/wp-content/uploads/2016/04/ikurri%C3%B1a.jpg,Wiwibloggs,Basque Flag,,,,,#DCDCDC
1981,2,8,,1981,,,,,Creation of the Basque government,"Since 1981, and after the negotiations among the central Government, the Deputations and the Basque Government, the old foral structure of the Deputations began to be reimplemented.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Logotipo_del_Gobierno_Vasco.svg/1200px-Logotipo_del_Gobierno_Vasco.svg.png,Wikipedia,Basque Government logo,,,,,#DCDCDC
